Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,National accounts base year,National accounts reference year,SNA price valuation,Lending category,Other groups,System of National Accounts,Alternative conversion factor,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,,,
ABW,Aruba,Aruba,Aruba,AW,Aruban florin,,Latin America & Caribbean,High income,AW,2013,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology,,,BPM6,,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),,,Yes,,,2018,,,"('ABW','Aruba','Aruba','AW','Latin America & Caribbean','High income','AW'),"
AFE,Africa Eastern and Southern,Africa Eastern and Southern,Africa Eastern and Southern,ZH,,"26 countries, stretching from the Red Sea in the North to the Cape of Good Hope in the South (https://www.worldbank.org/en/region/afr/eastern-and-southern-africa)",,,ZH,,,,,,,,,,,,,,,,,,,,,,,"('AFE','Africa Eastern and Southern','Africa Eastern and Southern','ZH','','','ZH'),"
AFG,Afghanistan,Afghanistan,Islamic State of Afghanistan,AF,Afghan afghani,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",South Asia,Low income,AF,2016,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),1979,"Demographic and Health Survey, 2015","Integrated household survey (IHS), 2016/17",,,,2018,,,"('AFG','Afghanistan','Islamic State of Afghanistan','AF','South Asia','Low income','AF'),"
AFW,Africa Western and Central,Africa Western and Central,Africa Western and Central,ZI,,"22 countries, stretching from the westernmost point of Africa, across the equator, and partly along the Atlantic Ocean till the Republic of Congo in the South (https://www.worldbank.org/en/region/afr/western-and-central-africa)",,,ZI,,,,,,,,,,,,,,,,,,,,,,,"('AFW','Africa Western and Central','Africa Western and Central','ZI','','','ZI'),"
AGO,Angola,Angola,People's Republic of Angola,AO,Angolan kwanza,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Sub-Saharan Africa,Lower middle income,AO,2002,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2014,"Demographic and Health Survey, 2015/16","Integrated household survey (IHS), 2008/09",,,,2018,,,"('AGO','Angola','People's Republic of Angola','AO','Sub-Saharan Africa','Lower middle income','AO'),"
ALB,Albania,Albania,Republic of Albania,AL,Albanian lek,,Europe & Central Asia,Upper middle income,AL,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Demographic and Health Survey, 2017/18","Living Standards Measurement Study Survey (LSMS), 2012",Yes,2012,2013,2018,,,"('ALB','Albania','Republic of Albania','AL','Europe & Central Asia','Upper middle income','AL'),"
AND,Andorra,Andorra,Principality of Andorra,AD,Euro,,Europe & Central Asia,High income,AD,2010,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology,,,BPM6,,General trade system,,,2011. Population figures compiled from administrative registers.,,,Yes,,,2018,,,"('AND','Andorra','Principality of Andorra','AD','Europe & Central Asia','High income','AD'),"
ARB,Arab World,Arab World,Arab World,1A,,Arab World aggregate. Arab World is composed of members of the League of Arab States.,,,1A,,,,,,,,,,,,,,,,,,,,,,,"('ARB','Arab World','Arab World','1A','','','1A'),"
ARE,United Arab Emirates,United Arab Emirates,United Arab Emirates,AE,U.A.E. dirham,,Middle East & North Africa,High income,AE,2010,,Value added at producer prices (VAP),,,Country uses the 1993 System of National Accounts methodology,,,,,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"World Health Survey, 2003",,Yes,2012,1985,2018,,,"('ARE','United Arab Emirates','United Arab Emirates','AE','Middle East & North Africa','High income','AE'),"
ARG,Argentina,Argentina,Argentine Republic,AR,Argentine peso,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Latin America & Caribbean,Upper middle income,AR,2004,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2019/20","Integrated household survey (IHS), 2016",Yes,2008,2002,2018,,,"('ARG','Argentina','Argentine Republic','AR','Latin America & Caribbean','Upper middle income','AR'),"
ARM,Armenia,Armenia,Republic of Armenia,AM,Armenian dram,,Europe & Central Asia,Upper middle income,AM,Original chained constant price data are rescaled.,2012,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020 (expected),"Demographic and Health Survey, 2015/16","Integrated household survey (IHS), 2016",Yes,2014,,2018,,,"('ARM','Armenia','Republic of Armenia','AM','Europe & Central Asia','Upper middle income','AM'),"
ASM,American Samoa,American Samoa,American Samoa,AS,U.S. dollar,,East Asia & Pacific,Upper middle income,AS,Original chained constant price data are rescaled.,2012,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,,,,,,2020 (expected),,,Yes,2008,,,,,"('ASM','American Samoa','American Samoa','AS','East Asia & Pacific','Upper middle income','AS'),"
ATG,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,AG,East Caribbean dollar,,Latin America & Caribbean,High income,AG,2006,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2011,,,Yes,2007,,2018,,,"('ATG','Antigua and Barbuda','Antigua and Barbuda','AG','Latin America & Caribbean','High income','AG'),"
AUS,Australia,Australia,Commonwealth of Australia,AU,Australian dollar,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",East Asia & Pacific,High income,AU,Original chained constant price data are rescaled.,2020,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2016,,"Expenditure survey/budget survey (ES/BS), 2010",Yes,2015-2016,2013,2018,,,"('AUS','Australia','Commonwealth of Australia','AU','East Asia & Pacific','High income','AU'),"
AUT,Austria,Austria,Republic of Austria,AT,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,AT,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2011. Population figures compiled from administrative registers.,,"Income survey (IS), 2015",Yes,2010,2014,2018,,,"('AUT','Austria','Republic of Austria','AT','Europe & Central Asia','High income','AT'),"
AZE,Azerbaijan,Azerbaijan,Republic of Azerbaijan,AZ,New Azeri manat,,Europe & Central Asia,Upper middle income,AZ,Original chained constant price data are rescaled.,2005,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2019,"Demographic and Health Survey, 2006","Living Standards Measurement Study Survey (LSMS), 2012",Yes,2015,2013,2018,,,"('AZE','Azerbaijan','Republic of Azerbaijan','AZ','Europe & Central Asia','Upper middle income','AZ'),"
BDI,Burundi,Burundi,Republic of Burundi,BI,Burundi franc,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1983-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Sub-Saharan Africa,Low income,BI,2005,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2008,"Demographic and Health Survey, 2016/17","Core Welfare Indicator Questionnaire Survey (CWIQ), 2014",,,2012,2018,,,"('BDI','Burundi','Republic of Burundi','BI','Sub-Saharan Africa','Low income','BI'),"
BEL,Belgium,Belgium,Kingdom of Belgium,BE,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,BE,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,"Income survey (IS), 2015",Yes,2010,2014,2018,,,"('BEL','Belgium','Kingdom of Belgium','BE','Europe & Central Asia','High income','BE'),"
BEN,Benin,Benin,Republic of Benin,BJ,West African CFA franc,,Sub-Saharan Africa,Lower middle income,BJ,2015,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2013,"Demographic and Health Survey, 2017/18","Core Welfare Indicator Questionnaire Survey (CWIQ), 2015",,,1981,2018,,,"('BEN','Benin','Republic of Benin','BJ','Sub-Saharan Africa','Lower middle income','BJ'),"
BFA,Burkina Faso,Burkina Faso,Burkina Faso,BF,West African CFA franc,,Sub-Saharan Africa,Low income,BF,2015,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2019,"Malaria Indicator Survey, 2017/18","Core Welfare Indicator Questionnaire Survey (CWIQ), 2014",,2006-2010,1983,2018,,,"('BFA','Burkina Faso','Burkina Faso','BF','Sub-Saharan Africa','Low income','BF'),"
BGD,Bangladesh,Bangladesh,People's Republic of Bangladesh,BD,Bangladeshi taka,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",South Asia,Lower middle income,BD,2016,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2011,"Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2016",,2008,2011,2015,,,"('BGD','Bangladesh','People's Republic of Bangladesh','BD','South Asia','Lower middle income','BD'),"
BGR,Bulgaria,Bulgaria,Republic of Bulgaria,BG,Bulgarian lev,,Europe & Central Asia,Upper middle income,BG,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2011,Multitopic Household Survey 2007,"Expenditure survey/budget survey (ES/BS), 2014",Yes,2010,2014,2018,,,"('BGR','Bulgaria','Republic of Bulgaria','BG','Europe & Central Asia','Upper middle income','BG'),"
BHR,Bahrain,Bahrain,Kingdom of Bahrain,BH,Bahraini dinar,,Middle East & North Africa,High income,BH,2010,,Value added at producer prices (VAP),,,Country uses the 1993 System of National Accounts methodology,,,BPM6,,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected). Population figures compiled from administrative registers.,"Multiple Indicator Cluster Survey, 2000",,Yes,2010,2013,2018,,,"('BHR','Bahrain','Kingdom of Bahrain','BH','Middle East & North Africa','High income','BH'),"
BHS,The Bahamas,"Bahamas, The",Commonwealth of The Bahamas,BS,Bahamian dollar,,Latin America & Caribbean,High income,BS,2012,,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),,,,,1998,2015,,,"('BHS','The Bahamas','Commonwealth of The Bahamas','BS','Latin America & Caribbean','High income','BS'),"
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,Bosnia and Herzegovina convertible mark,,Europe & Central Asia,Upper middle income,BA,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2013,"Multiple Indicator Cluster Survey, 2011/12","Expenditure survey/budget survey (ES/BS), 2015",Yes,,2011,2018,,,"('BIH','Bosnia and Herzegovina','Bosnia and Herzegovina','BA','Europe & Central Asia','Upper middle income','BA'),"
BLR,Belarus,Belarus,Republic of Belarus,BY,Belarusian rubel,"Data before 2015 were adjusted to reflect the new denomination effective from July 1, 2016 (BYN), a decrease of 10,000 times (1 BYN = 10,000 BYR)",Europe & Central Asia,Upper middle income,BY,Original chained constant price data are rescaled.,2014,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2019,"Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2017",Yes,,2014,2018,,,"('BLR','Belarus','Republic of Belarus','BY','Europe & Central Asia','Upper middle income','BY'),"
BLZ,Belize,Belize,Belize,BZ,Belize dollar,,Latin America & Caribbean,Upper middle income,BZ,2000,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2015/16","Labor force survey (LFS), 1999",,2011,1992,2018,,,"('BLZ','Belize','Belize','BZ','Latin America & Caribbean','Upper middle income','BZ'),"
BMU,Bermuda,Bermuda,The Bermudas,BM,Bermuda dollar,,North America,High income,BM,2013,,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,,,2016,,,Yes,,,2018,,,"('BMU','Bermuda','The Bermudas','BM','North America','High income','BM'),"
BOL,Bolivia,Bolivia,Plurinational State of Bolivia,BO,Bolivian Boliviano,,Latin America & Caribbean,Lower middle income,BO,1990,,Value added at basic prices (VAB),IBRD,HIPC,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2012,"Demographic and Health Survey, 2008","Integrated household survey (IHS), 2016",,2013,2010,2018,,,"('BOL','Bolivia','Plurinational State of Bolivia','BO','Latin America & Caribbean','Lower middle income','BO'),"
BRA,Brazil,Brazil,Federative Republic of Brazil,BR,Brazilian real,,Latin America & Caribbean,Upper middle income,BR,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2020 (expected),"National Health Survey, 2013","Integrated household survey (IHS), 2016",Yes,2006,2013,2018,,,"('BRA','Brazil','Federative Republic of Brazil','BR','Latin America & Caribbean','Upper middle income','BR'),"
BRB,Barbados,Barbados,Barbados,BB,Barbados dollar,,Latin America & Caribbean,High income,BB,2010,,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2012",,Yes,,1997,2018,,,"('BRB','Barbados','Barbados','BB','Latin America & Caribbean','High income','BB'),"
